session_id,gps_date,gps_time,latitude,longitude,velocity,course,satellites_in_view,satellites_used,hdop,label
20260609_190003,6/9/2026,0:03:29,32.1019677,36.1125922,1.415,92.04,11,8,1.27,0
20260609_190003,6/9/2026,0:03:30,32.101968,36.112606,1.431,90.69,11,8,1.27,0
20260609_190003,6/9/2026,0:03:31,32.1019675,36.1126188,1.364,91.02,11,8,1.27,0
20260609_190003,6/9/2026,0:03:32,32.101968,36.1126322,1.347,89.2,11,7,1.27,0
20260609_190003,6/9/2026,0:03:33,32.1019682,36.1126455,1.317,90.52,11,7,1.27,0
20260609_190003,6/9/2026,0:03:34,32.1019683,36.1126593,1.366,90.65,11,7,1.27,0
20260609_190003,6/9/2026,0:03:35,32.101968,36.1126735,1.392,92.92,11,7,1.27,0
20260609_190003,6/9/2026,0:03:36,32.1019672,36.1126883,1.434,94.27,11,7,1.27,0
20260609_190003,6/9/2026,0:03:37,32.1019668,36.1127033,1.453,92.63,11,7,1.27,0
20260609_190003,6/9/2026,0:03:38,32.101967,36.112718,1.432,91.58,11,7,1.27,0
20260609_190003,6/9/2026,0:03:39,32.1019673,36.1127323,1.384,89.96,11,8,1.27,0
20260609_190003,6/9/2026,0:03:40,32.1019682,36.1127465,1.342,88.11,11,8,1.27,0
20260609_190003,6/9/2026,0:03:41,32.1019697,36.1127615,1.471,85.92,11,8,1.27,0
20260609_190003,6/9/2026,0:03:42,32.1019708,36.1127772,1.503,86.36,11,8,1.27,0
20260609_190003,6/9/2026,0:03:43,32.1019713,36.1127918,1.402,86.68,11,8,1.27,0
20260609_190003,6/9/2026,0:03:44,32.101972,36.112806,1.381,86.92,11,8,1.27,0
20260609_190003,6/9/2026,0:03:45,32.1019728,36.1128205,1.396,86.44,11,8,0.99,0
20260609_190003,6/9/2026,0:03:46,32.1019722,36.112835,1.44,90.91,11,8,0.99,0
20260609_190003,6/9/2026,0:03:47,32.1019707,36.1128497,1.434,92.17,11,8,0.99,0
20260609_190003,6/9/2026,0:03:48,32.1019697,36.1128637,1.378,92.94,11,8,1.27,0
20260609_190003,6/9/2026,0:03:49,32.101968,36.1128778,1.405,94.66,11,8,1.27,0
20260609_190003,6/9/2026,0:03:50,32.1019673,36.1128922,1.381,93.84,11,8,1.27,0
20260609_190003,6/9/2026,0:03:51,32.1019673,36.112907,1.436,91.43,11,8,1.27,0
20260609_190003,6/9/2026,0:03:52,32.101967,36.112922,1.439,91.13,11,8,1.27,0
